top_depth,bot_depth,top_age,bot_age,vol,char_c,char_a
454.08,455.1,9253,9270,1,3,0.1367
455.1,456.12,9270,9286,1,6,0.1978
456.12,457.14,9286,9302,1,3,0.0555
457.14,458.16,9302,9317,1,2,0.1205
458.16,459.18,9317,9332,1,1,0.3337
459.18,460.2,9332,9346,1,8,0.7541
460.2,461.22,9346,9360,1,2,0.0583
461.22,462.24,9360,9374,1,3,0.0712
462.24,463.27,9374,9387,1,2,0.095
463.27,464.29,9387,9400,1,9,0.9699
464.29,465.31,9400,9413,1,11,0.3979
465.31,466.33,9413,9425,1,4,0.3658
466.33,467.35,9425,9438,1,12,0.8167
467.35,468.37,9438,9450,1,7,0.2715
468.37,469.39,9450,9461,1,11,0.4177
469.39,470.41,9461,9473,1,9,0.866
470.41,471.43,9473,9484,1,13,0.7874
471.43,472.45,9484,9496,1,9,0.5768
472.45,473.47,9496,9507,1,9,0.685
473.47,474.49,9507,9518,1,9,1.0596
474.49,475.51,9518,9529,1,2,0.10780000000000001
475.51,476.53,9529,9540,1,1,0.0156
476.53,477.55,9540,9551,1,5,0.1257
477.55,478.57,9551,9562,1,3,0.1691
478.57,479.59,9562,9573,1,1,0.0184
479.59,480.61,9573,9584,1,1,0.0305
480.61,481.63,9584,9595,1,4,0.2163
481.63,482.65,9595,9606,1,1,0.0286
482.65,483.67,9606,9618,1,0,0
483.67,484.69,9618,9629,1,5,0.2554
484.69,485.71,9629,9641,1,2,0.0565
485.71,486.73,9641,9652,1,4,0.1424
486.73,487.76,9652,9665,1,0,0
487.76,488.78,9665,9677,1,1,0.0296
488.78,489.8,9677,9689,1,3,0.0458
489.8,490.82,9689,9702,1,3,0.0527
490.82,491.84,9702,9715,1,11,0.293
491.84,492.86,9715,9728,1,1,0.0367
492.86,493.88,9728,9742,1,2,0.0903
493.88,494.9,9742,9756,1,6,0.3997
494.9,495.92,9756,9770,1,1,0.0821
495.92,496.94,9770,9785,1,3,0.1524
